Data/Hora,"Lat, Long",Latitude,Longitude
25/04/2023 14:56:14,"-22.978012,-43.231823",-22.978012,-43.231823
25/04/2023 14:56:24,"-22.978004,-43.231815",-22.978004,-43.231815
25/04/2023 14:56:34,"-22.978005,-43.231822",-22.978005,-43.231822
25/04/2023 14:56:44,"-22.977997,-43.231812",-22.977997,-43.231812
25/04/2023 14:56:54,"-22.977994,-43.231812",-22.977994,-43.231812
25/04/2023 14:57:04,"-22.977996,-43.231812",-22.977996,-43.231812
25/04/2023 14:57:14,"-22.978005,-43.231818",-22.978005,-43.231818
25/04/2023 14:57:24,"-22.978003,-43.231823",-22.978003,-43.231823
25/04/2023 14:57:35,"-22.977989,-43.231819",-22.977989,-43.231819
25/04/2023 14:57:45,"-22.977284,-43.231786",-22.977284,-43.231786
25/04/2023 14:57:55,"-22.978000,-43.231822",-22.978,-43.231822
25/04/2023 14:58:05,"-22.978005,-43.231819",-22.978005,-43.231819
25/04/2023 14:58:15,"-22.977987,-43.231816",-22.977987,-43.231816
25/04/2023 14:58:25,"-22.978006,-43.231813",-22.978006,-43.231813
25/04/2023 14:58:35,"-22.977991,-43.231811",-22.977991,-43.231811
25/04/2023 14:58:45,"-22.978004,-43.231818",-22.978004,-43.231818
25/04/2023 14:58:57,"-22.978003,-43.231822",-22.978003,-43.231822
25/04/2023 14:59:07,"-22.978005,-43.231821",-22.978005,-43.231821
25/04/2023 14:59:17,"-22.978009,-43.231819",-22.978009,-43.231819
25/04/2023 14:59:27,"-22.977999,-43.231818",-22.977999,-43.231818
25/04/2023 14:59:37,"-22.978005,-43.231819",-22.978005,-43.231819
25/04/2023 14:59:47,"-22.978007,-43.231821",-22.978007,-43.231821
25/04/2023 14:59:57,"-22.978008,-43.231820",-22.978008,-43.23182
25/04/2023 15:00:09,"-22.978018,-43.231831",-22.978018,-43.231831
25/04/2023 15:00:18,"-22.978007,-43.231822",-22.978007,-43.231822
25/04/2023 15:00:28,"-22.977993,-43.231818",-22.977993,-43.231818
25/04/2023 15:00:38,"-22.978015,-43.231821",-22.978015,-43.231821
25/04/2023 15:00:48,"-22.978001,-43.231820",-22.978001,-43.23182
25/04/2023 15:00:58,"-22.977995,-43.231828",-22.977995,-43.231828
25/04/2023 15:01:08,"-22.978010,-43.231820",-22.97801,-43.23182
25/04/2023 15:01:18,"-22.977991,-43.231816",-22.977991,-43.231816
25/04/2023 15:01:28,"-22.977998,-43.231814",-22.977998,-43.231814
25/04/2023 15:01:39,"-22.978000,-43.231811",-22.978,-43.231811
25/04/2023 15:01:48,"-22.978002,-43.231815",-22.978002,-43.231815
