Data/Hora,"Lat, Long",Latitude,Longitude
27/04/2023 12:55:15,"-22.980749,-43.235539",-22.980749,-43.235539
27/04/2023 12:55:16,"-22.980749,-43.235557",-22.980749,-43.235557
27/04/2023 12:55:20,"-22.980727,-43.235573",-22.980727,-43.235573
27/04/2023 12:55:25,"-22.980699,-43.235564",-22.980699,-43.235564
27/04/2023 12:55:26,"-22.980700,-43.235567",-22.9807,-43.235567
27/04/2023 12:55:30,"-22.980695,-43.235581",-22.980695,-43.235581
27/04/2023 12:55:33,"-22.980703,-43.235569",-22.980703,-43.235569
27/04/2023 12:55:34,"-22.980707,-43.235548",-22.980707,-43.235548
27/04/2023 12:55:35,"-22.980710,-43.235540",-22.98071,-43.23554
27/04/2023 12:55:36,"-22.980716,-43.235539",-22.980716,-43.235539
27/04/2023 12:55:40,"-22.980719,-43.235541",-22.980719,-43.235541
27/04/2023 12:55:45,"-22.980680,-43.235560",-22.98068,-43.23556
27/04/2023 12:55:46,"-22.980672,-43.235542",-22.980672,-43.235542
27/04/2023 12:55:50,"-22.980673,-43.235501",-22.980673,-43.235501
27/04/2023 12:55:56,"-22.980675,-43.235488",-22.980675,-43.235488
27/04/2023 12:56:06,"-22.980675,-43.235488",-22.980675,-43.235488
27/04/2023 12:56:08,"-22.980716,-43.235480",-22.980716,-43.23548
27/04/2023 12:56:09,"-22.980731,-43.235479",-22.980731,-43.235479
27/04/2023 12:56:16,"-22.980766,-43.235480",-22.980766,-43.23548
27/04/2023 12:56:25,"-22.980787,-43.235471",-22.980787,-43.235471
27/04/2023 12:56:26,"-22.980797,-43.235461",-22.980797,-43.235461
27/04/2023 12:56:26,"-22.980797,-43.235461",-22.980797,-43.235461
27/04/2023 12:56:36,"-22.980812,-43.235418",-22.980812,-43.235418
27/04/2023 12:56:40,"-22.980780,-43.235423",-22.98078,-43.235423
27/04/2023 12:56:40,"-22.980778,-43.235424",-22.980778,-43.235424
27/04/2023 12:56:46,"-22.980748,-43.235423",-22.980748,-43.235423
27/04/2023 12:56:56,"-22.980766,-43.235426",-22.980766,-43.235426
27/04/2023 12:57:06,"-22.980771,-43.235401",-22.980771,-43.235401
27/04/2023 12:57:16,"-22.980794,-43.235411",-22.980794,-43.235411
27/04/2023 12:57:26,"-22.980810,-43.235400",-22.98081,-43.2354
27/04/2023 12:57:36,"-22.980801,-43.235392",-22.980801,-43.235392
27/04/2023 12:57:38,"-22.980822,-43.235371",-22.980822,-43.235371
27/04/2023 12:57:46,"-22.980837,-43.235365",-22.980837,-43.235365
27/04/2023 12:57:55,"-22.980811,-43.235384",-22.980811,-43.235384
27/04/2023 12:57:55,"-22.980809,-43.235386",-22.980809,-43.235386
27/04/2023 12:57:56,"-22.980804,-43.235390",-22.980804,-43.23539
27/04/2023 12:58:06,"-22.980764,-43.235407",-22.980764,-43.235407
27/04/2023 12:58:16,"-22.980753,-43.235398",-22.980753,-43.235398
27/04/2023 12:58:26,"-22.980784,-43.235373",-22.980784,-43.235373
27/04/2023 12:58:36,"-22.980797,-43.235369",-22.980797,-43.235369
27/04/2023 12:58:46,"-22.980778,-43.235388",-22.980778,-43.235388
27/04/2023 12:58:50,"-22.980780,-43.235375",-22.98078,-43.235375
27/04/2023 12:58:56,"-22.980787,-43.235385",-22.980787,-43.235385
27/04/2023 12:59:06,"-22.980772,-43.235454",-22.980772,-43.235454
27/04/2023 12:59:06,"-22.980772,-43.235454",-22.980772,-43.235454
27/04/2023 12:59:08,"-22.980757,-43.235470",-22.980757,-43.23547
27/04/2023 12:59:16,"-22.980733,-43.235505",-22.980733,-43.235505
27/04/2023 12:59:16,"-22.980733,-43.235505",-22.980733,-43.235505
27/04/2023 12:59:17,"-22.980754,-43.235480",-22.980754,-43.23548
27/04/2023 12:59:18,"-22.980719,-43.235531",-22.980719,-43.235531
27/04/2023 12:59:25,"-22.980713,-43.235552",-22.980713,-43.235552
27/04/2023 12:59:30,"-22.980739,-43.235527",-22.980739,-43.235527
27/04/2023 12:59:30,"-22.980745,-43.235521",-22.980745,-43.235521
27/04/2023 12:59:31,"-22.980758,-43.235506",-22.980758,-43.235506
27/04/2023 12:59:35,"-22.980783,-43.235489",-22.980783,-43.235489
27/04/2023 12:59:36,"-22.980779,-43.235504",-22.980779,-43.235504
27/04/2023 12:59:41,"-22.980797,-43.235478",-22.980797,-43.235478
27/04/2023 12:59:42,"-22.980809,-43.235461",-22.980809,-43.235461
27/04/2023 12:59:45,"-22.980818,-43.235450",-22.980818,-43.23545
27/04/2023 12:59:46,"-22.980822,-43.235432",-22.980822,-43.235432
27/04/2023 12:59:51,"-22.980844,-43.235374",-22.980844,-43.235374
27/04/2023 12:59:52,"-22.980853,-43.235356",-22.980853,-43.235356
27/04/2023 12:59:55,"-22.980861,-43.235332",-22.980861,-43.235332
27/04/2023 12:59:58,"-22.980862,-43.235339",-22.980862,-43.235339
27/04/2023 13:00:00,"-22.980850,-43.235364",-22.98085,-43.235364
27/04/2023 13:00:01,"-22.980844,-43.235378",-22.980844,-43.235378
27/04/2023 13:00:02,"-22.980840,-43.235395",-22.98084,-43.235395
27/04/2023 13:00:03,"-22.980834,-43.235416",-22.980834,-43.235416
27/04/2023 13:00:05,"-22.980829,-43.235441",-22.980829,-43.235441
27/04/2023 13:00:06,"-22.980828,-43.235452",-22.980828,-43.235452
27/04/2023 13:00:11,"-22.980830,-43.235492",-22.98083,-43.235492
27/04/2023 13:00:12,"-22.980827,-43.235467",-22.980827,-43.235467
27/04/2023 13:00:13,"-22.980823,-43.235440",-22.980823,-43.23544
27/04/2023 13:00:14,"-22.980826,-43.235417",-22.980826,-43.235417
27/04/2023 13:00:15,"-22.980832,-43.235394",-22.980832,-43.235394
27/04/2023 13:00:15,"-22.980834,-43.235388",-22.980834,-43.235388
27/04/2023 13:00:21,"-22.980840,-43.235337",-22.98084,-43.235337
27/04/2023 13:00:25,"-22.980850,-43.235318",-22.98085,-43.235318
27/04/2023 13:00:33,"-22.980839,-43.235371",-22.980839,-43.235371
27/04/2023 13:00:35,"-22.980843,-43.235380",-22.980843,-43.23538
27/04/2023 13:00:41,"-22.980836,-43.235353",-22.980836,-43.235353
27/04/2023 13:00:42,"-22.980836,-43.235329",-22.980836,-43.235329
27/04/2023 13:00:45,"-22.980864,-43.235323",-22.980864,-43.235323
27/04/2023 13:00:46,"-22.980869,-43.235326",-22.980869,-43.235326
27/04/2023 13:00:51,"-22.980908,-43.235297",-22.980908,-43.235297
27/04/2023 13:00:55,"-22.980906,-43.235302",-22.980906,-43.235302
27/04/2023 13:01:01,"-22.980899,-43.235323",-22.980899,-43.235323
27/04/2023 13:01:05,"-22.980861,-43.235351",-22.980861,-43.235351
27/04/2023 13:01:06,"-22.980859,-43.235358",-22.980859,-43.235358
27/04/2023 13:01:09,"-22.980830,-43.235391",-22.98083,-43.235391
27/04/2023 13:01:10,"-22.980816,-43.235408",-22.980816,-43.235408
27/04/2023 13:01:11,"-22.980807,-43.235426",-22.980807,-43.235426
27/04/2023 13:01:16,"-22.980785,-43.235474",-22.980785,-43.235474
27/04/2023 13:01:16,"-22.980784,-43.235480",-22.980784,-43.23548
27/04/2023 13:01:21,"-22.980769,-43.235500",-22.980769,-43.2355
27/04/2023 13:01:26,"-22.980759,-43.235493",-22.980759,-43.235493
27/04/2023 13:01:32,"-22.980750,-43.235516",-22.98075,-43.235516
27/04/2023 13:01:35,"-22.980736,-43.235503",-22.980736,-43.235503
27/04/2023 13:01:36,"-22.980734,-43.235499",-22.980734,-43.235499
27/04/2023 13:01:39,"-22.980735,-43.235491",-22.980735,-43.235491
27/04/2023 13:01:41,"-22.980743,-43.235471",-22.980743,-43.235471
27/04/2023 13:01:46,"-22.980776,-43.235468",-22.980776,-43.235468
27/04/2023 13:01:51,"-22.980783,-43.235444",-22.980783,-43.235444
27/04/2023 13:01:56,"-22.980798,-43.235443",-22.980798,-43.235443
